step,agent_id,type,side,price,quantity
101,MM_01,limit,buy,104.87,10
101,Trend_01,market,buy,MKT,5
101,Arb_01,market,sell,MKT,5
102,MM_01,limit,sell,105.44,10
102,Trend_01,market,buy,MKT,5
102,Arb_01,market,buy,MKT,5
103,MM_01,limit,buy,104.92,10
103,Trend_01,market,buy,MKT,5
103,Arb_01,market,buy,MKT,5
104,MM_01,limit,buy,104.89,10
104,Trend_01,market,sell,MKT,5
104,Arb_01,market,buy,MKT,5
105,MM_01,limit,buy,104.76,10
105,Trend_01,market,sell,MKT,5
106,MM_01,limit,sell,104.36,10
106,Trend_01,market,sell,MKT,5
106,Arb_01,market,buy,MKT,5
107,MM_01,limit,buy,104.9,10
107,Trend_01,market,buy,MKT,5
108,MM_01,limit,buy,103.71,10
108,Trend_01,market,sell,MKT,5
108,Arb_01,market,sell,MKT,5
109,MM_01,limit,sell,103.01,10
109,Trend_01,market,sell,MKT,5
110,MM_01,limit,sell,101.39,10
110,Trend_01,market,sell,MKT,5
110,Arb_01,market,sell,MKT,5
111,MM_01,limit,sell,101.3,10
111,Trend_01,market,sell,MKT,5
112,MM_01,limit,sell,101.73,10
112,Trend_01,market,sell,MKT,5
112,Arb_01,market,buy,MKT,5
113,MM_01,limit,sell,102.59,10
113,Trend_01,market,buy,MKT,5
113,Arb_01,market,buy,MKT,5
114,MM_01,limit,buy,102.2,10
114,Trend_01,market,buy,MKT,5
114,Arb_01,market,sell,MKT,5
115,MM_01,limit,buy,101.91,10
115,Trend_01,market,sell,MKT,5
115,Arb_01,market,buy,MKT,5
116,MM_01,limit,sell,101.57,10
116,Trend_01,market,sell,MKT,5
116,Arb_01,market,buy,MKT,5
117,MM_01,limit,buy,100.98,10
117,Trend_01,market,sell,MKT,5
117,Arb_01,market,sell,MKT,5
118,MM_01,limit,sell,101.03,10
118,Trend_01,market,sell,MKT,5
119,MM_01,limit,sell,102.18,10
119,Trend_01,market,buy,MKT,5
119,Arb_01,market,buy,MKT,5
120,MM_01,limit,buy,101.85,10
120,Trend_01,market,buy,MKT,5
121,MM_01,limit,buy,101.29,10
121,Trend_01,market,sell,MKT,5
121,Arb_01,market,sell,MKT,5
122,MM_01,limit,sell,101.26,10
122,Trend_01,market,sell,MKT,5
122,Arb_01,market,buy,MKT,5
123,MM_01,limit,sell,101.72,10
123,Trend_01,market,buy,MKT,5
124,MM_01,limit,buy,102.24,10
124,Trend_01,market,buy,MKT,5
124,Arb_01,market,sell,MKT,5
125,MM_01,limit,sell,102.25,10
125,Trend_01,market,buy,MKT,5
125,Arb_01,market,buy,MKT,5
126,MM_01,limit,buy,103.33,10
126,Trend_01,market,buy,MKT,5
126,Arb_01,market,sell,MKT,5
127,MM_01,limit,buy,103.93,10
127,Trend_01,market,buy,MKT,5
127,Arb_01,market,sell,MKT,5
128,MM_01,limit,sell,104.78,10
128,Trend_01,market,buy,MKT,5
129,MM_01,limit,buy,105.13,10
129,Trend_01,market,buy,MKT,5
129,Arb_01,market,buy,MKT,5
130,MM_01,limit,buy,104.31,10
130,Trend_01,market,sell,MKT,5
130,Arb_01,market,sell,MKT,5
131,MM_01,limit,sell,104.9,10
131,Trend_01,market,buy,MKT,5
131,Arb_01,market,sell,MKT,5
132,MM_01,limit,sell,105.92,10
132,Trend_01,market,buy,MKT,5
132,Arb_01,market,sell,MKT,5
133,MM_01,limit,buy,105.86,10
133,Trend_01,market,buy,MKT,5
134,MM_01,limit,buy,105.67,10
134,Trend_01,market,buy,MKT,5
134,Arb_01,market,sell,MKT,5
135,MM_01,limit,sell,105.26,10
135,Trend_01,market,sell,MKT,5
136,MM_01,limit,sell,105.57,10
136,Trend_01,market,sell,MKT,5
136,Arb_01,market,buy,MKT,5
137,MM_01,limit,buy,104.47,10
137,Trend_01,market,sell,MKT,5
137,Arb_01,market,sell,MKT,5
138,MM_01,limit,sell,104.37,10
138,Trend_01,market,sell,MKT,5
138,Arb_01,market,sell,MKT,5
139,MM_01,limit,sell,104.38,10
139,Trend_01,market,sell,MKT,5
139,Arb_01,market,sell,MKT,5
140,MM_01,limit,sell,104.24,10
140,Trend_01,market,sell,MKT,5
141,MM_01,limit,sell,104.28,10
141,Trend_01,market,sell,MKT,5
141,Arb_01,market,sell,MKT,5
142,MM_01,limit,sell,104.11,10
142,Trend_01,market,sell,MKT,5
142,Arb_01,market,sell,MKT,5
143,MM_01,limit,sell,104.4,10
143,Trend_01,market,buy,MKT,5
144,MM_01,limit,sell,103.82,10
144,Trend_01,market,sell,MKT,5
144,Arb_01,market,buy,MKT,5
145,MM_01,limit,buy,103.78,10
145,Trend_01,market,sell,MKT,5
145,Arb_01,market,buy,MKT,5
146,MM_01,limit,sell,103.67,10
