step,agent_id,inventory,cash,total_value
172,MM_01,25,97588.20000000001,100065.29827285268
172,Trend_01,-40,103988.9,100025.54276343572
172,Arb_01,-10,100834.69999999998,99843.86069085891
173,MM_01,25,97588.20000000001,100069.17027902466
173,Trend_01,-40,103988.9,100019.34755356054
173,Arb_01,-10,100834.69999999998,99842.31188839012
174,MM_01,20,98084.25000000001,100076.49345038083
174,Trend_01,-30,102996.79999999999,100008.43482442877
174,Arb_01,-10,100834.69999999998,99838.57827480958
175,MM_01,20,98084.25000000001,100067.78865115662
175,Trend_01,-30,102996.79999999999,100021.49202326508
175,Arb_01,-10,100834.69999999998,99842.93067442167
176,MM_01,25,97589.35000000002,100068.29914138016
176,Trend_01,-40,103986.59999999998,100020.28137379175
176,Arb_01,-10,100834.69999999998,99843.12034344792
177,MM_01,20,98085.00000000001,100044.73998415991
177,Trend_01,-40,103986.59999999998,100067.12003168018
177,Arb_01,0,99843.4,99843.4
178,MM_01,30,97107.10000000002,100004.62400098653
178,Trend_01,-50,104964.49999999997,100135.29333168913
178,Arb_01,-10,100821.29999999999,99855.45866633781
179,MM_01,30,97107.10000000002,99996.70420404669
179,Trend_01,-50,104964.49999999997,100148.49299325552
179,Arb_01,-10,100821.29999999999,99858.0985986511
180,MM_01,30,97107.10000000002,100002.58233481657
180,Trend_01,-50,104964.49999999997,100138.69610863907
180,Arb_01,-10,100821.29999999999,99856.1392217278
181,MM_01,25,97589.45000000003,100021.89711899252
181,Trend_01,-50,104964.49999999997,100099.60576201498
181,Arb_01,0,99856.59999999998,99856.59999999998
182,MM_01,20,98075.80000000003,100009.4749195919
182,Trend_01,-40,103991.79999999996,100124.45016081624
182,Arb_01,0,99856.59999999998,99856.59999999998
